tx_time,tx_id,tx_token_addr,tx_token_decimals,tx_from,tx_to,tx_value
1622440304,0xae67b753a5262ea5f75f6a82b18cd6a850e3e5bb5f834f22beabed8858dc31c9,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5091290dea577fd1890edd1c47bfc962119c7d50,0x04e8cc30871649a9d941deb324d3460d6101cc57,27000000000
1622440274,0x941833d0e4eab88955430eb09e8d2963f9e7c66a723447c22c9e20edee8cae6a,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x7f6f62e9fe27bf3876087db88c652e20c382c9af,0x04e8cc30871649a9d941deb324d3460d6101cc57,21000000000
1622440271,0xe9a9cc740ea0f4686a1d6c7a78684cde8ad266bb0d8d8d470702d8c8df5cb21e,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x95d11184b9bbfb57bf2712a5966494e886f0ec9d,0x04e8cc30871649a9d941deb324d3460d6101cc57,23000000000
1622440225,0x4c5a74988e15ce03a7b0429e2fb87953287d386c01df2314b2526087828c2ad8,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x189df2a9e40ae85c76bf821d07137a7d2f8fe279,0x04e8cc30871649a9d941deb324d3460d6101cc57,15000000000
1622217000,0x1a1b0e3dccca8b66b71c6b058906d1c6242dbe8b3cba7694eb40d32c7dfb2695,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,320000000000
1622216823,0xdec48f0afa60eeb05fa6514ffd0305eb3e9074d0999246b1ab598fe57528668d,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x34aad9910c5a496cb796396eaa41944f55a44920,0x04e8cc30871649a9d941deb324d3460d6101cc57,30000000000
1622216808,0x53fdcfea816e28b935a9f02f53f9b47b876ca9e36d02f31147dc5e4c8865f830,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5b4dc3413ff419a51ec4eed416845d32f15dc75a,0x04e8cc30871649a9d941deb324d3460d6101cc57,40000000000
1622216781,0x1093554f06d1c74809aee0a0726d968ebe537891a67ea3465eb00cc13026d8fd,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x878fb9fffa6f92a637760ade5b3f8b0b54686fa7,0x04e8cc30871649a9d941deb324d3460d6101cc57,30000000000
1622216752,0x01bc58f6a57210c595e11a547140cbd222b08d6e063247720415b5eabed08ea0,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x39bdde74b529512c3a50c7355999b09af83c7e46,0x04e8cc30871649a9d941deb324d3460d6101cc57,20000000000
1622216732,0xcc75ce47c1ae3e053044c021a3f3ea254a717b3eb9f7f59944a72644097a7dce,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x437eab1b19e5a584ca4e53504f8b081e21226b2c,0x04e8cc30871649a9d941deb324d3460d6101cc57,40000000000
1622216717,0x3769b8ffb5ffcc5fab79a4c7191869f69d952bfe34f8c20f61e803d741623284,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5091290dea577fd1890edd1c47bfc962119c7d50,0x04e8cc30871649a9d941deb324d3460d6101cc57,60000000000
1622216704,0x2328e542cf4be4f43ef0b3424bdabeeb8daa40ea95d4d45bc7f67c0dcf729458,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x7f6f62e9fe27bf3876087db88c652e20c382c9af,0x04e8cc30871649a9d941deb324d3460d6101cc57,50000000000
1622216701,0xcb73895d3dd4d605e476bee98a6c410ddac4388c36561113327862216e88278e,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,40000000000
1622216701,0x7c4895c879366b29f82d8af53e0b26123a4d9c375594793adb9ea8c85045b526,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x95d11184b9bbfb57bf2712a5966494e886f0ec9d,0x04e8cc30871649a9d941deb324d3460d6101cc57,50000000000
1622216634,0xf84e8706eeea683f7c3adacf7dabddd5838e6b22dd635871a0e35ca7c8900b49,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x189df2a9e40ae85c76bf821d07137a7d2f8fe279,0x04e8cc30871649a9d941deb324d3460d6101cc57,40000000000
1621829986,0x89b468ae5c03ccd0114877ad07d9042bd92728a66c47f66c5b980cb8b54a90ff,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,103552962400
1621829976,0xd3f4505c6ab3938a596fbe28d59085c3f347cb8f07bf7fe3ab9901cb2418ae1a,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x34aad9910c5a496cb796396eaa41944f55a44920,0x04e8cc30871649a9d941deb324d3460d6101cc57,16100000000
1621829904,0x7e3b4598b6ad3a30462dfca2ee803d31683d884330779437ae7493db6ac07d1b,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5b4dc3413ff419a51ec4eed416845d32f15dc75a,0x04e8cc30871649a9d941deb324d3460d6101cc57,21300000000
1621829852,0xccd58dd018271dfd4f71766e4c9dcc295e531d41aa0404b302663781e84f7f93,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x878fb9fffa6f92a637760ade5b3f8b0b54686fa7,0x04e8cc30871649a9d941deb324d3460d6101cc57,12700000000
1621829840,0x0cc7abce0e07b8db4c6ad0c824599eabe6c44ab7a05c13e132089b55f23283d4,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x437eab1b19e5a584ca4e53504f8b081e21226b2c,0x04e8cc30871649a9d941deb324d3460d6101cc57,6500000000
1621829826,0x94daa5400a4d4626f6fab8cc687e9dd81f856a2f860c0b39d44ff629978239f1,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x39bdde74b529512c3a50c7355999b09af83c7e46,0x04e8cc30871649a9d941deb324d3460d6101cc57,6552962400
1621829739,0x24f768a4a47d39d16acb29c8a888d81cb62a8ead548a66171a849ab57c56181f,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5091290dea577fd1890edd1c47bfc962119c7d50,0x04e8cc30871649a9d941deb324d3460d6101cc57,9700000000
1621829701,0xe8642c261b0829761894a135277c4309613f43f2ff15e7932def4b00185bd2f0,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x7f6f62e9fe27bf3876087db88c652e20c382c9af,0x04e8cc30871649a9d941deb324d3460d6101cc57,15400000000
1621829682,0x5b5123d77d4b888a05778fe02b3979f4e7ace7cbcbfe59fd03ad7d39f8ddc894,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x95d11184b9bbfb57bf2712a5966494e886f0ec9d,0x04e8cc30871649a9d941deb324d3460d6101cc57,11500000000
1621829649,0x117c568f62d6e579dededdb0eedd68ebed51ecbe916c42b9bdb8d4a3c4432a30,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x189df2a9e40ae85c76bf821d07137a7d2f8fe279,0x04e8cc30871649a9d941deb324d3460d6101cc57,3800000000
1621613686,0xa2667e65724ffa72eb66cd3d121d52eac30c9400f3fe275449b8c1f4ffc10e3e,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,90000000000
1621613383,0x2e5b6bea08ce19f40700a06a643b6f2e48311f1f83245f044269aea02a0f6708,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x34aad9910c5a496cb796396eaa41944f55a44920,0x04e8cc30871649a9d941deb324d3460d6101cc57,50000000000
1621613364,0xb25e38827edb75bc1b9979eac71256a6b6b3d8e23cda19f88fa1c2eee6846074,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5b4dc3413ff419a51ec4eed416845d32f15dc75a,0x04e8cc30871649a9d941deb324d3460d6101cc57,40000000000
